mfr,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating
3,70,4,1,130,10.0,5.0,6.0,280.0,25,3,1.0,0.33,68.402973
5,120,3,5,15,2.0,8.0,8.0,135.0,0,3,1.0,1.0,33.983678999999995
2,70,4,1,260,9.0,7.0,5.0,320.0,25,3,1.0,0.33,59.425505
2,50,4,0,140,14.0,8.0,0.0,330.0,25,3,1.0,0.5,93.704912
6,110,2,2,200,1.0,14.0,8.0,0.0,25,3,1.0,0.75,34.384843
1,110,2,2,180,1.5,10.5,10.0,70.0,25,1,1.0,0.75,29.509541
2,110,2,0,125,1.0,11.0,14.0,30.0,25,2,1.0,1.0,33.174094000000004
1,130,3,2,210,2.0,18.0,8.0,100.0,25,3,1.33,0.75,37.038562
6,90,2,1,200,4.0,15.0,6.0,125.0,25,1,1.0,0.67,49.120253000000005
4,90,3,0,210,5.0,13.0,5.0,190.0,25,3,1.0,0.67,53.313813
5,120,1,2,220,0.0,12.0,12.0,35.0,25,2,1.0,0.75,18.042851000000002
1,110,6,2,290,2.0,17.0,1.0,105.0,25,1,1.0,1.25,50.764998999999996
1,120,1,3,210,0.0,13.0,9.0,45.0,25,2,1.0,0.75,19.823573
1,110,3,2,140,2.0,13.0,7.0,105.0,25,3,1.0,0.5,40.400208
1,110,1,1,180,0.0,12.0,13.0,55.0,25,2,1.0,1.0,22.736446
6,110,2,0,280,0.0,22.0,3.0,25.0,25,1,1.0,1.0,41.445019
2,100,2,0,290,1.0,21.0,2.0,35.0,25,1,1.0,1.0,45.863324
2,110,1,0,90,1.0,13.0,12.0,20.0,25,2,1.0,1.0,35.782790999999996
1,110,1,1,180,0.0,12.0,13.0,65.0,25,2,1.0,1.0,22.396513
2,110,3,3,140,4.0,10.0,7.0,160.0,25,3,1.0,0.5,40.448772
3,100,3,0,80,1.0,21.0,0.0,0.0,0,2,1.0,1.0,64.533816
2,110,2,0,220,1.0,21.0,3.0,30.0,25,3,1.0,1.0,46.895644
1,100,2,1,140,2.0,11.0,10.0,120.0,25,3,1.0,0.75,36.176196000000004
6,100,2,0,190,1.0,18.0,5.0,80.0,25,3,1.0,0.75,44.330856
2,110,2,1,125,1.0,11.0,13.0,30.0,25,2,1.0,1.0,32.207582
2,110,1,0,200,1.0,14.0,11.0,25.0,25,1,1.0,0.75,31.435972999999997
2,100,3,0,0,3.0,14.0,7.0,100.0,25,2,1.0,0.8,58.345141000000005
4,120,3,2,160,5.0,12.0,10.0,200.0,25,3,1.25,0.67,40.917047
2,120,3,0,240,5.0,14.0,12.0,190.0,25,3,1.33,0.67,41.015492
4,110,1,1,135,0.0,13.0,12.0,25.0,25,2,1.0,0.75,28.025765000000003
4,100,2,0,45,0.0,11.0,15.0,40.0,25,1,1.0,0.88,35.252444
1,110,1,1,280,0.0,15.0,9.0,45.0,25,2,1.0,0.75,23.804043
4,100,3,1,140,3.0,15.0,5.0,85.0,25,3,1.0,0.88,52.076896999999995
4,110,3,0,170,3.0,17.0,3.0,90.0,25,3,1.0,0.25,53.37100699999999
4,120,3,3,75,3.0,13.0,4.0,100.0,25,3,1.0,0.33,45.811716
5,120,1,2,220,1.0,12.0,11.0,45.0,25,2,1.0,1.0,21.871292
1,110,3,1,250,1.5,11.5,10.0,90.0,25,1,1.0,0.75,31.072217
4,110,1,0,180,0.0,14.0,11.0,35.0,25,1,1.0,1.33,28.742414
2,110,2,1,170,1.0,17.0,6.0,60.0,100,3,1.0,1.0,36.523683
2,140,3,1,170,2.0,20.0,9.0,95.0,100,3,1.3,0.75,36.471512
1,110,2,1,260,0.0,21.0,3.0,40.0,25,2,1.0,1.5,39.241114
5,100,4,2,150,2.0,12.0,6.0,95.0,25,2,1.0,0.67,45.328074
1,110,2,1,180,0.0,12.0,12.0,55.0,25,2,1.0,1.0,26.734515000000002
0,100,4,1,0,0.0,16.0,3.0,95.0,25,2,1.0,1.0,54.850917
6,150,4,3,95,3.0,16.0,11.0,170.0,25,3,1.0,1.0,37.136863
6,150,4,3,150,3.0,16.0,11.0,170.0,25,3,1.0,1.0,34.139765000000004
2,160,3,2,150,3.0,17.0,13.0,160.0,25,3,1.5,0.67,30.313351
1,100,2,1,220,2.0,15.0,6.0,90.0,25,1,1.0,1.0,40.105965000000005
2,120,2,1,190,0.0,15.0,9.0,40.0,25,2,1.0,0.67,29.924284999999998
2,140,3,2,220,3.0,21.0,7.0,130.0,25,3,1.33,0.67,40.69232
2,90,3,0,170,3.0,18.0,2.0,90.0,25,3,1.0,1.0,59.642837
1,130,3,2,170,1.5,13.5,10.0,120.0,25,3,1.25,0.5,30.450843
4,120,3,1,200,6.0,11.0,14.0,260.0,25,3,1.33,0.67,37.840594
2,100,3,0,320,1.0,20.0,3.0,45.0,100,3,1.0,1.0,41.50354
5,50,1,0,0,0.0,13.0,0.0,15.0,0,3,0.5,1.0,60.756112
5,50,2,0,0,1.0,10.0,0.0,50.0,0,3,0.5,1.0,63.005644999999994
5,100,4,1,135,2.0,14.0,6.0,110.0,25,3,1.0,0.5,49.511874
5,100,5,2,0,2.7,0.0,0.0,110.0,0,1,1.0,0.67,50.828392
2,120,3,1,210,5.0,14.0,12.0,240.0,25,2,1.33,0.75,39.259197
